ASSET CLASSES,EAD BEFORE CRM,COLL AMT,NETTING AMT,GUARANTEE AMT,RWA WITH CRM,RWA WITHOUT CRM,% of RWA,OUTSTANDING AMOUNT,ACCURED INTEREST,OUTSTANDING FEE,EAD AFTER CRM,TOTAL
"CASH, GOLD AND CASH EQUIVALENT",-,-,-,-,-,-,0.00%,-,-,-,-,-
EXPOSURE TO SOVEREIGNS,-,-,-,-,-,-,0.00%,-,-,-,-,-
VAMC/DATC,-,-,-,-,-,-,0.00%,-,-,-,-,-
SOVEREIGN,-,-,-,-,-,-,0.00%,-,-,-,-,-
EXPOSURE TO PSEs,-,-,-,-,-,-,0.00%,-,-,-,-,-
EXPOSURE TO MDBs,-,-,-,-,-,-,0.00%,-,-,-,-,-
EXPOSURE TO BANKS,"65,048,226,033,025",-,"35,930,216,441,765",-,"27,329,697,991,503","47,167,252,540,993",100.00%,"64,551,134,689,688","497,091,343,337",-,"29,118,009,591,260","64,551,134,689,688"
EXPOSURE TO CORPORATES,-,-,-,-,-,-,0.00%,-,-,-,-,-
GENERAL CORPORATE EXPOSURE,-,-,-,-,-,-,0.00%,-,-,-,-,-
SPECIALIZED LENDING EXPOSURE,-,-,-,-,-,-,0.00%,-,-,-,-,-
RETAIL EXPOSURES,"185,644,494",-,-,-,"185,644,494","185,644,494",0.00%,"1,272,000,000",10.896,-,"185,644,494","1,272,000,000"
REGULATORY RETAIL,-,-,-,-,-,-,0.00%,-,-,-,-,-
TRANSACTORS,-,-,-,-,-,-,0.00%,-,-,-,-,-
REGULATORY RETAIL SME,-,-,-,-,-,-,0.00%,-,-,-,-,-
OTHER RETAIL,"185,644,494",-,-,-,"185,644,494","185,644,494",0.00%,"1,272,000,000",10.896,-,"185,644,494","1,272,000,000"
REAL ESTATE EXPOSURE,-,-,-,-,-,-,0.00%,-,-,-,-,-
COMMERCIAL REAL ESTATE,-,-,-,-,-,-,0.00%,-,-,-,-,-
INCOME PRODUCING CRE,-,-,-,-,-,-,0.00%,-,-,-,-,-
GENERAL CRE,-,-,-,-,-,-,0.00%,-,-,-,-,-
RESIDENTIAL REAL ESTATE,-,-,-,-,-,-,0.00%,-,-,-,-,-
INCOME PRODUCING RRE,-,-,-,-,-,-,0.00%,-,-,-,-,-
GENERAL RRE,-,-,-,-,-,-,0.00%,-,-,-,-,-
"LAND ACQUISITION, DEVELOPMENT AND CONSTRUCTION",-,-,-,-,-,-,0.00%,-,-,-,-,-
DEFAULTED EXPOSURES,-,-,-,-,-,-,0.00%,-,-,-,-,-
SUBORDINATED DEBT AND EQUITY,-,-,-,-,-,-,0.00%,-,-,-,-,-
OTHER ASSETS,-,-,-,-,-,-,0.00%,-,-,-,-,-
